UTM_X	UTM_Y	GDP值
510853.016555	4493003.121935	4.705555
511895.820922	4492807.168623	82.418930
512938.620900	4492611.252491	5.051553
513981.416506	4492415.373518	9.609637
515024.207757	4492219.531684	0.071325
516066.994672	4492023.726967	3.170489
517109.777268	4491827.959348	0.166612
518152.555563	4491632.228804	0.785458
519195.329574	4491436.535315	0.338028
520238.099320	4491240.878860	0.011911
440737.247647	4505356.027326	0.022596
441780.377499	4505157.526514	0.273209
442823.501766	4504959.064249	1.873248
443866.620465	4504760.640512	1.595025
444909.733614	4504562.255281	1.909541
445952.841231	4504363.908536	2.868179
446995.943333	4504165.600255	0.431407
448039.039938	4503967.330418	0.768926
468899.844798	4500009.974854	0.009401
469942.830038	4499812.507533	0.193321
470985.810169	4499615.078197	0.017575
480372.404364	4497839.920117	0.023662
487672.811876	4496461.357946	0.185292
488715.707859	4496264.571188	120.599113
489758.599052	4496067.822041	0.813456
490801.485472	4495871.110484	0.371902
491844.367137	4495674.436497	0.015042
496015.846597	4494888.115827	0.003380
497058.704750	4494691.629374	0.037183
498101.558254	4494495.180366	0.099017
499144.407127	4494298.768782	0.033832
500187.251387	4494102.394600	0.105448
501230.091050	4493906.057801	50.961494
502272.926135	4493709.758362	0.632688
503315.756659	4493513.496263	0.738136
504358.582641	4493317.271484	27.115192
505401.404097	4493121.084003	0.843584
506444.221046	4492924.933800	73.101295
507487.033505	4492728.820853	4.072526
508529.841492	4492532.745143	2.583832
509572.645025	4492336.706647	5.421124
510615.444121	4492140.705346	3.886303
511658.238798	4491944.741218	36.327801
512701.029074	4491748.814242	13.347349
513743.814967	4491552.924398	5.228498
514786.596494	4491357.071665	0.215719
515829.373673	4491161.256021	0.389112
516872.146522	4490965.477446	0.127410
517914.915058	4490769.735920	0.101497
518957.679300	4490574.031421	0.020282
520000.439265	4490378.363928	0.026799
437370.907237	4505090.025566	0.015064
439457.177212	4504692.813277	0.052724
441543.424660	4504295.755234	0.418539
442586.539979	4504097.284003	0.794015
443629.649720	4503898.851271	1.400829
444672.753899	4503700.457018	1.058860
445715.852534	4503502.101222	0.965493
446758.945643	4503303.783862	0.014876
468662.655594	4499147.961373	0.017575
469705.631588	4498950.484360	0.341451
470748.602462	4498753.045305	2.319855
481178.033466	4496780.737876	0.162028
482220.949182	4496583.714987	0.003380
486392.563140	4495796.000307	0.030128
487435.454492	4495599.165752	0.070299
488478.341024	4495402.368800	2.550093
489521.222753	4495205.609432	0.406728
490564.099698	4495008.887627	0.029752
491606.971877	4494812.203363	0.100023
492649.839306	4494615.556620	0.043760
493692.702004	4494418.947377	0.011911
494735.559989	4494222.375613	0.003380
495778.413277	4494025.841308	0.003380
497864.105837	4493632.884988	0.301280
498906.945144	4493436.462932	0.143788
499949.779825	4493240.078251	0.477377
500992.609899	4493043.730925	6.397177
502035.435384	4492847.420931	2.073810
503078.256297	4492651.148250	0.228471
504121.072655	4492454.912860	1.704742
505163.884476	4492258.714741	0.918904
506206.691779	4492062.553871	1.785896
507249.494581	4491866.430231	1.608461
508292.292899	4491670.343798	2.784203
509335.086752	4491474.294553	4.828548
510377.876156	4491278.282474	9.572117
511420.661131	4491082.307541	11.403145
512463.441693	4490886.369732	9.090096
513506.217860	4490690.469027	0.712989
514548.989650	4490494.605405	0.983298
515591.757080	4490298.778845	0.824620
516634.520169	4490102.989326	0.033832
517677.278934	4489907.236828	0.008458
518720.033394	4489711.521329	0.042060
519762.783564	4489515.842808	0.010820
437133.995446	4504228.282842	0.165704
438177.124345	4504029.648562	0.015064
439220.247582	4503831.052836	1.928191
440263.365176	4503632.495643	0.070299
441306.477144	4503433.976964	0.982470
442349.583504	4503235.496776	0.166448
443392.684273	4503037.055060	0.100198
444435.779468	4502838.651794	0.338333
445478.869109	4502640.286958	0.083306
467382.499495	4498483.465818	0.105448
468425.471380	4498285.941172	0.020085
469468.438116	4498088.454478	0.135576
470511.399719	4497891.005713	0.035703
471554.356208	4497693.594859	0.015064
481983.643711	4495721.566757	0.797747
483026.545111	4495524.571533	0.003380
486155.219970	4494933.811736	0.015064
487198.101869	4494736.967026	0.346472
488240.978936	4494540.159892	21.134785
489283.851189	4494343.390314	0.512176
490326.718647	4494146.658270	0.557368
491369.581326	4493949.963740	1.297196
492412.439245	4493753.306703	0.275063
493455.292421	4493556.687138	0.079706
494498.140872	4493360.105025	0.165704
495540.984616	4493163.560342	0.015064
496583.823670	4492967.053068	0.096754
497626.658052	4492770.583184	0.666981
498669.487780	4492574.150667	0.801452
499712.312871	4492377.755497	8.428792
500755.133344	4492181.397654	11.035235
501797.949215	4491985.077116	0.749755
502840.760503	4491788.793863	37.469177
503883.567225	4491592.547873	0.404217
504926.369399	4491396.339126	0.228471
505969.167044	4491200.167601	2.106455
507011.960175	4491004.033277	0.785458
508054.748812	4490807.936133	1.417522
509097.532972	4490611.876149	7.690200
510140.312672	4490415.853303	1.309268
511183.087930	4490219.867575	22.766466
512225.858765	4490023.918944	103.987724
513268.625194	4489828.007388	5.213810
514311.387234	4489632.132888	2.454958
515354.144903	4489436.295422	0.267770
436897.089040	4503366.533067	0.180768
437940.209012	4503167.889952	0.075320
438983.323311	4502969.285364	0.075320
441069.534962	4502572.191684	0.166612
442112.632349	4502373.702550	0.017575
443155.724133	4502175.251860	0.017851
444198.810333	4501976.839592	0.015042
467145.329542	4497621.448523	0.135576
468188.292167	4497423.914234	0.060256
469231.249631	4497226.417869	0.067788
470274.201951	4497028.959406	0.040171
471317.149146	4496831.538825	0.015064
472360.091233	4496634.156104	0.014876
481746.343074	4494859.411925	0.020282
482789.235054	4494662.406668	0.003380
